date,habit
2024-11-01,"Slept 7h or more"
2024-11-01,"Workout 15m or more"
2024-11-01,"Yoga, Stretching or Core 10m or more"
2024-11-01,"Cold shower 1m or more"
2024-11-01,"Proteins above 150g"
2024-11-01,"No addictive products (alcohol or else)"
2024-11-01,"Meditation for 5m or more"
2024-11-01,"German for 5m or more"
2024-11-01,"Flashcards for 5m or more"
2024-11-01,"Books for 5m or more"
2024-11-01,"Free Learning or MarketWatch"
2024-11-01,"Certified training for 15m or more"
2024-11-01,"Screens & Social under 1h"
2024-11-01,"Morning Self-Care & Cleaning routine"
2024-11-01,"Breathwork for 5m or more"
2024-11-01,"Was I kind (4 agreements)?"
2024-11-01,"Bed time routine (self-care & massage)"
2024-11-02,"Slept 7h or more"
2024-11-02,"Workout 15m or more"
2024-11-02,"Yoga, Stretching or Core 10m or more"
2024-11-02,"Cold shower 1m or more"
2024-11-02,"Proteins above 150g"
2024-11-02,"No addictive products (alcohol or else)"
2024-11-02,"Meditation for 5m or more"
2024-11-02,"German for 5m or more"
2024-11-02,"Flashcards for 5m or more"
2024-11-02,"Books for 5m or more"
2024-11-02,"Free Learning or MarketWatch"
2024-11-02,"Certified training for 15m or more"
2024-11-02,"Screens & Social under 1h"
2024-11-02,"Morning Self-Care & Cleaning routine"
2024-11-02,"Breathwork for 5m or more"
2024-11-02,"Was I kind (4 agreements)?"
2024-11-02,"Bed time routine (self-care & massage)"
2024-11-03,"Slept 7h or more"
2024-11-03,"Workout 15m or more"
2024-11-03,"Yoga, Stretching or Core 10m or more"
2024-11-03,"Cold shower 1m or more"
2024-11-03,"Proteins above 150g"
2024-11-03,"No addictive products (alcohol or else)"
2024-11-03,"Meditation for 5m or more"
2024-11-03,"German for 5m or more"
2024-11-03,"Flashcards for 5m or more"
2024-11-03,"Books for 5m or more"
2024-11-03,"Free Learning or MarketWatch"
2024-11-03,"Certified training for 15m or more"
2024-11-03,"Screens & Social under 1h"
2024-11-03,"Morning Self-Care & Cleaning routine"
2024-11-03,"Breathwork for 5m or more"
2024-11-03,"Was I kind (4 agreements)?"
2024-11-03,"Bed time routine (self-care & massage)"
2024-11-04,"Slept 7h or more"
2024-11-04,"Workout 15m or more"
2024-11-04,"Yoga, Stretching or Core 10m or more"
2024-11-04,"Cold shower 1m or more"
2024-11-04,"Proteins above 150g"
2024-11-04,"No addictive products (alcohol or else)"
2024-11-04,"Meditation for 5m or more"
2024-11-04,"German for 5m or more"
2024-11-04,"Certified training for 15m or more"
2024-11-04,"Screens & Social under 1h"
2024-11-04,"Morning Self-Care & Cleaning routine"
2024-11-04,"Breathwork for 5m or more"
2024-11-04,"Was I kind (4 agreements)?"
2024-11-04,"Bed time routine (self-care & massage)"
2024-11-05,"Slept 7h or more"
2024-11-05,"Workout 15m or more"
2024-11-05,"Yoga, Stretching or Core 10m or more"
2024-11-05,"Cold shower 1m or more"
2024-11-05,"No addictive products (alcohol or else)"
2024-11-05,"Meditation for 5m or more"
2024-11-05,"German for 5m or more"
2024-11-05,"Books for 5m or more"
2024-11-05,"Morning Self-Care & Cleaning routine"
2024-11-05,"Breathwork for 5m or more"
2024-11-06,"Slept 7h or more"
2024-11-06,"Morning Self-Care & Cleaning routine"
2024-11-06,"Yoga, Stretching or Core 10m or more"
2024-11-06,"Meditation for 5m or more"
2024-11-06,"German for 5m or more"
2024-11-06,"Free Learning or MarketWatch"
2024-11-06,"Screens & Social under 1h"
2024-11-06,"Was I kind (4 agreements)?"
2024-11-06,"No addictive products (alcohol or else)"
2024-11-06,"Proteins above 150g"
2024-11-06,"Bed time routine (self-care & massage)"
2024-11-07,"Morning Self-Care & Cleaning routine"
2024-11-07,"Yoga, Stretching or Core 10m or more"
2024-11-07,"Workout 15m or more"
2024-11-07,"Cold shower 1m or more"
2024-11-07,"Meditation for 5m or more"
2024-11-07,"German for 5m or more"
2024-11-07,"Flashcards for 5m or more"
2024-11-07,"Books for 5m or more"
2024-11-07,"Breathwork for 5m or more"
2024-11-07,"Free Learning or MarketWatch"
2024-11-07,"Certified training for 15m or more"
2024-11-07,"Screens & Social under 1h"
2024-11-07,"Was I kind (4 agreements)?"
2024-11-07,"No addictive products (alcohol or else)"
2024-11-07,"Proteins above 150g"
2024-11-08,"Slept 7h or more"
2024-11-08,"Morning Self-Care & Cleaning routine"
2024-11-08,"Cold shower 1m or more"
2024-11-08,"Meditation for 5m or more"
2024-11-08,"German for 5m or more"
2024-11-08,"Breathwork for 5m or more"
2024-11-08,"Screens & Social under 1h"
2024-11-08,"Was I kind (4 agreements)?"
2024-11-08,"No addictive products (alcohol or else)"
2024-11-08,"Bed time routine (self-care & massage)"
2024-11-09,"Slept 7h or more"
2024-11-09,"Morning Self-Care & Cleaning routine"
2024-11-09,"Yoga, Stretching or Core 10m or more"
2024-11-09,"Meditation for 5m or more"
2024-11-09,"German for 5m or more"
2024-11-09,"Breathwork for 5m or more"
2024-11-09,"Certified training for 15m or more"
2024-11-09,"Was I kind (4 agreements)?"
2024-11-09,"No addictive products (alcohol or else)"
2024-11-09,"Proteins above 150g"
2024-11-09,"Bed time routine (self-care & massage)"
2024-11-10,"Slept 7h or more"
2024-11-10,"Morning Self-Care & Cleaning routine"
2024-11-10,"Yoga, Stretching or Core 10m or more"
2024-11-10,"Cold shower 1m or more"
2024-11-10,"Meditation for 5m or more"
2024-11-10,"German for 5m or more"
2024-11-10,"Flashcards for 5m or more"
2024-11-10,"Books for 5m or more"
2024-11-10,"Breathwork for 5m or more"
2024-11-10,"Free Learning or MarketWatch"
2024-11-10,"Certified training for 15m or more"
2024-11-10,"Screens & Social under 1h"
2024-11-10,"Was I kind (4 agreements)?"
2024-11-10,"No addictive products (alcohol or else)"
2024-11-10,"Bed time routine (self-care & massage)"
2024-11-11,"Slept 7h or more"
2024-11-11,"Morning Self-Care & Cleaning routine"
2024-11-11,"German for 5m or more"
2024-11-11,"Flashcards for 5m or more"
2024-11-11,"Free Learning or MarketWatch"
2024-11-11,"Certified training for 15m or more"
2024-11-11,"Screens & Social under 1h"
2024-11-11,"Was I kind (4 agreements)?"
2024-11-11,"No addictive products (alcohol or else)"
2024-11-11,"Proteins above 150g"
2024-11-12,"Slept 7h or more"
2024-11-12,"Morning Self-Care & Cleaning routine"
2024-11-12,"Yoga, Stretching or Core 10m or more"
2024-11-12,"Workout 15m or more"
2024-11-12,"Cold shower 1m or more"
2024-11-12,"Meditation for 5m or more"
2024-11-12,"German for 5m or more"
2024-11-12,"Flashcards for 5m or more"
2024-11-12,"Books for 5m or more"
2024-11-12,"Breathwork for 5m or more"
2024-11-12,"Certified training for 15m or more"
2024-11-12,"Was I kind (4 agreements)?"
2024-11-12,"No addictive products (alcohol or else)"
2024-11-12,"Proteins above 150g"
2024-11-13,"Slept 7h or more"
2024-11-13,"Morning Self-Care & Cleaning routine"
2024-11-13,"Yoga, Stretching or Core 10m or more"
2024-11-13,"Workout 15m or more"
2024-11-13,"Cold shower 1m or more"
2024-11-13,"Meditation for 5m or more"
2024-11-13,"German for 5m or more"
2024-11-13,"Flashcards for 5m or more"
2024-11-13,"Books for 5m or more"
2024-11-13,"Breathwork for 5m or more"
2024-11-13,"Screens & Social under 1h"
2024-11-13,"Was I kind (4 agreements)?"
2024-11-13,"No addictive products (alcohol or else)"
2024-11-13,"Bed time routine (self-care & massage)"
2024-11-14,"Morning Self-Care & Cleaning routine"
2024-11-14,"Yoga, Stretching or Core 10m or more"
2024-11-14,"Workout 15m or more"
2024-11-14,"Cold shower 1m or more"
2024-11-14,"Meditation for 5m or more"
2024-11-14,"German for 5m or more"
2024-11-14,"Books for 5m or more"
2024-11-14,"Certified training for 15m or more"
2024-11-14,"Was I kind (4 agreements)?"
2024-11-14,"No addictive products (alcohol or else)"
2024-11-15,"Slept 7h or more"
2024-11-15,"Morning Self-Care & Cleaning routine"
2024-11-15,"Yoga, Stretching or Core 10m or more"
2024-11-15,"Workout 15m or more"
2024-11-15,"Cold shower 1m or more"
2024-11-15,"Meditation for 5m or more"
2024-11-15,"German for 5m or more"
2024-11-15,"Breathwork for 5m or more"
2024-11-15,"Certified training for 15m or more"
2024-11-15,"Screens & Social under 1h"
2024-11-15,"Was I kind (4 agreements)?"
2024-11-15,"No addictive products (alcohol or else)"
2024-11-15,"Proteins above 150g"
2024-11-16,"Morning Self-Care & Cleaning routine"
2024-11-16,"Yoga, Stretching or Core 10m or more"
2024-11-16,"Cold shower 1m or more"
2024-11-16,"Meditation for 5m or more"
2024-11-16,"German for 5m or more"
2024-11-16,"Books for 5m or more"
2024-11-16,"Free Learning or MarketWatch"
2024-11-16,"Certified training for 15m or more"
2024-11-16,"Was I kind (4 agreements)?"
2024-11-16,"No addictive products (alcohol or else)"
2024-11-16,"Proteins above 150g"
2024-11-16,"Bed time routine (self-care & massage)"
2024-11-17,"Morning Self-Care & Cleaning routine"
2024-11-17,"Yoga, Stretching or Core 10m or more"
2024-11-17,"Cold shower 1m or more"
2024-11-17,"Meditation for 5m or more"
2024-11-17,"German for 5m or more"
2024-11-17,"Was I kind (4 agreements)?"
2024-11-17,"No addictive products (alcohol or else)"
2024-11-18,"Slept 7h or more"
2024-11-18,"Morning Self-Care & Cleaning routine"
2024-11-18,"Yoga, Stretching or Core 10m or more"
2024-11-18,"Workout 15m or more"
2024-11-18,"Cold shower 1m or more"
2024-11-18,"Meditation for 5m or more"
2024-11-18,"German for 5m or more"
2024-11-18,"Books for 5m or more"
2024-11-18,"Breathwork for 5m or more"
2024-11-18,"Certified training for 15m or more"
2024-11-18,"Screens & Social under 1h"
2024-11-18,"Was I kind (4 agreements)?"
2024-11-18,"No addictive products (alcohol or else)"
2024-11-18,"Proteins above 150g"
2024-11-19,"Slept 7h or more"
2024-11-19,"Morning Self-Care & Cleaning routine"
2024-11-19,"Meditation for 5m or more"
2024-11-19,"German for 5m or more"
2024-11-19,"Flashcards for 5m or more"
2024-11-19,"Books for 5m or more"
2024-11-19,"Breathwork for 5m or more"
2024-11-19,"Free Learning or MarketWatch"
2024-11-19,"Certified training for 15m or more"
2024-11-19,"Screens & Social under 1h"
2024-11-19,"Was I kind (4 agreements)?"
2024-11-19,"No addictive products (alcohol or else)"
2024-11-20,"Morning Self-Care & Cleaning routine"
2024-11-20,"Workout 15m or more"
2024-11-20,"Meditation for 5m or more"
2024-11-20,"German for 5m or more"
2024-11-20,"Flashcards for 5m or more"
2024-11-20,"Books for 5m or more"
2024-11-20,"Breathwork for 5m or more"
2024-11-20,"Free Learning or MarketWatch"
2024-11-20,"Certified training for 15m or more"
2024-11-20,"Screens & Social under 1h"
2024-11-20,"Was I kind (4 agreements)?"
2024-11-20,"No addictive products (alcohol or else)"
2024-11-20,"Proteins above 150g"
2024-11-21,"Slept 7h or more"
2024-11-21,"Morning Self-Care & Cleaning routine"
2024-11-21,"Meditation for 5m or more"
2024-11-21,"German for 5m or more"
2024-11-21,"Books for 5m or more"
2024-11-21,"Free Learning or MarketWatch"
2024-11-21,"Certified training for 15m or more"
2024-11-21,"Screens & Social under 1h"
2024-11-21,"Was I kind (4 agreements)?"
2024-11-21,"No addictive products (alcohol or else)"
2024-11-21,"Proteins above 150g"
2024-11-21,"Bed time routine (self-care & massage)"
2024-11-22,"Slept 7h or more"
