date,log,value
2024-09-12,Active Calories,1162.866205242003
2024-06-08,Active Calories,743.162
2024-04-09,Active Calories,597.1159999999998
2024-02-12,Body Fat Percentage,0
2024-08-17,Body Fat Percentage,0
2024-10-22,Body Fat Percentage,0
2024-01-03,Caffeine,0
2024-06-06,Caffeine,0
2024-02-17,Caffeine,0
2024-08-04,Calcium,0
2024-07-31,Calcium,240.31
2024-01-25,Calcium,0
2024-01-22,Carbohydrates,0
2024-03-27,Carbohydrates,0
2024-01-08,Carbohydrates,0
2024-01-15,Cycling Distance,0
2024-03-06,Cycling Distance,0
2024-08-24,Cycling Distance,0
2024-01-05,Exercise Time,4
2024-05-19,Exercise Time,9
2024-07-11,Exercise Time,157
2024-04-18,Heart Rate Variability,129.7781635416338
2024-06-28,Heart Rate Variability,90.39259757067065
2024-04-06,Heart Rate Variability,103.0602040178039
2024-03-04,Iron,0
2024-01-31,Iron,0
2024-12-05,Iron,0
2024-04-03,Magnesium,0
2024-03-15,Magnesium,0
2024-09-11,Magnesium,61.315
2024-05-09,Protein,0
2024-05-05,Protein,0
2024-04-18,Protein,0
2024-02-05,Resting Calories,2191.799000000035
2024-06-19,Resting Calories,1815.468
2024-02-02,Resting Calories,2091.487000000155
2024-06-16,Resting Heart Rate,43
2024-09-18,Resting Heart Rate,41
2024-05-07,Resting Heart Rate,55
2024-10-15,Running Power,206.2169373549884
2024-04-01,Running Power,0
2024-08-14,Running Power,222.1310084825636
2024-01-31,Running Speed,0
2024-05-10,Running Speed,0
2024-11-17,Running Speed,0
2024-09-27,Selenium,0
2024-06-21,Selenium,0
2024-07-10,Selenium,0
2024-10-03,Swimming Distance,0
2024-01-13,Swimming Distance,0
2024-07-30,Swimming Distance,0
2024-02-09,Total Fat,0
2024-09-26,Total Fat,0
2024-07-28,Total Fat,199.9138
2024-03-17,VO2 Max,0
2024-08-20,VO2 Max,0
2024-08-26,VO2 Max,45.715
2024-09-26,Vitamin B12,0
2024-08-03,Vitamin B12,0
2024-01-29,Vitamin B12,0
2024-06-01,Vitamin B6,0
2024-07-23,Vitamin B6,0
2024-09-20,Vitamin B6,1.7025
2024-07-18,Vitamin D,0
2024-06-03,Vitamin D,0
2024-10-04,Vitamin D,0
2024-08-24,Walking + Running Distance,2.087585197064327
2024-04-12,Walking + Running Distance,6.038143877660275
2024-03-20,Walking + Running Distance,11.04159754671307
2024-05-14,Water,0
2024-07-25,Water,1500
2024-02-11,Water,0
2024-05-10,Zinc,0
2024-10-04,Zinc,0
2024-07-24,Zinc,0
