Quote,Author
"""The truth will set you free. But first, it will piss you off""",Gloria Steinem
"""In battle use the ordinary to engage use the extraordinary to win""",Sun Tzu
"""Ti lamp, ti lamp. Ti hache i coup’ gros bois""",Haitian Proverb
"""The greater the mass, the greater the force of attraction""",Isaac Newton
"""Not everything that counts can be counted, and not everything that can be counted counts""",Albert Einstein
"""I call her CNN, yeah ’cause baby, you old news""",Kanye West
"""The modern organization cannot be an organization of 'boss' and 'subordinate'- it must be organized as a team of associates""",Peter Drucker
"""The perfect is the enemy of the good. - « Le mieux est l'ennemi du bien »""",Voltaire
"""Celui qui abandonne une fois, le fera toujours""",Charles de Foucauld
"""Another person will not hurt you without your cooperation. You are hurt the moment you believe yourself to be""",Epictetus
"""You should be a doubt annihilator""",Grant Cardone
"""The only limits you see are the ones you impose on yourself""",Wayne Dyer
"""Overcoming poverty is not a task of charity, it is an act of justice""",Nelson Mandela
"""There are only two ways for a manager to improve the output of an employee- motivation and training""",Peter Drucker
"""It is not things that upset us but our judgment about those things""",Epictetus
"""Pretending to not be afraid is as good as actually not being afraid""",David Letterman
"""Figuring out the right product is the innovator’s job, not the customer’s job 2""",Steve Jobs
"""What doesn’t kill you makes you stronger""",Friedrich Nietzsche
"""Curiosity, passion & sense of purpose makes the impossible""",Diana Trujillo
"""Is our imagination that is responsible for love. Not the other person""",Marcel Proust
"""The last of human freedoms - to choose one’ attitude in any given circumstances""",Viktor E. Frankl
"""Que la force me soit donnée de supporter ce qui ne peut être changé et le courage de changer ce qui peut l'être mais aussi la sagesse de distinguer l'un de l'autre""",Reinhold Niebuhr
"""Time heals what reason can not""",Seneca
"""Give me six hours to chop down a tree and I will spend the first four sharpening the axe""",Abraham Lincoln
"""The highest achievers don’t deny their weaknesses; they acknowledge them and find out what system and people they need to put in place to stay on track""",Unknown
"""To be in peace with yourself, don’t focus on where you are today, focus on the work you’re putting in everyday""",Unknown
"""Today I escaped anxiety. Or no, I discarded it, because it was within me, in my own perception - not outside""",Marcus Aurelius
"""There is only one way to happiness and that is to cease worrying about things which are beyond the power of our will""",Epictetus
"""I have not failed. I’ve just found 10,000 ways that won’t work""",Thomas Edison
"""Some employees make products, some make sales; the CEO makes decisions""",Unknown
"""Life is 10% what happens to me, 90% how I react""",Charles R. Swindoll
"""Drinking every night cause we’re drinking to my accomplishments""",Unknown
"""Le mensonge vole, et la vérité ne le suit qu'en boîtant""",Jean de La Fontaine
"""It is in your hands, to make a better world for all who live in it""",Nelson Mandela
"""Under her pictures lives some of the greatest quotes from me""",Drake
"""I’ve learned that people will forget what you said, people will forget what you did, but people will never forget how you made them feel""",Maya Angelou
"""It isn’t possible to change your behavior and still be the same person you were before""",Jordan Peterson
"""Who has peace of mind disturb neither himself nor another""",Epicurus
"""The rabbit runs faster than the fox, because the rabbit is running for his life while the fox is only running for his dinner""",Richard Dawkins
"""How good is first class if my niggers can’t sit""",Jay-Z
"""You become what you give your attention to""",Epictetus
"""That which is still small is easy to direct""",Lao Tzu
"""If you are going to eat shit, don’t nibble""",Nassim Nicholas Taleb
"""The ability to observe without evaluating is the highest form of intelligence""",Jiddu Krishnamurti
"""With entrepreneurs, the two key characteristics that we look for are brilliance and courage""",Ben Horowitz
"""Monogamy used to be one person for life. Monogamy is now one person at a time""",Esther Perel
"""You have not lived today until you have done something for someone who can never repay you""",John Wooden
"""When you argue with reality, reality always wins""",Byron Katie
"""As a CEO, you should focus more on the why than the how""",Simon Sinek
"""Slow is smooth and smooth is fast""",Unknown
"""In the midst of chaos, there is also opportunity""",Sun Tzu
"""It takes a really smart person to be maximally destructive, because otherwise nobody else will listen to him""",Unknown
"""Your task is not to seek for love, but merely seek and find all the barriers within yourself that you have built against it""",Rumi
"""C’est une chose bien commode que la critique ; car où l’on attaque avec un mot, il faut des pages pour se défendre""",Voltaire
"""What counts in life is not the mere fact that we have lived. It is what difference we have made to the lives of others""",Nelson Mandela
"""Memento mori""",Ancient Roman Proverb
"""Never let the future disturb you. You will meet it, if you have to, with the same weapon of reason which today arm you against the present""",Marcus Aurelius
"""Life is never made unbearable by circumstances but only by lack of meaning and purpose""",Viktor E. Frankl
"""Our life is shaped by our mind; we become what we think""",Buddha
"""If it hadn't been for music, the Civil Rights Movement would've been like a Bird without wings""",Harry Belafonte
"""Receive without pride, let go without attachment""",Buddha
"""I do not ask the wounded person how he feels, I myself become the wounded person""",Walt Whitman
"""Mostly it is loss which teaches us about the worth of things""",Arthur Schopenhauer
"""If you lose your money, you lose nothing. If you lose your health, you lose something. If you lose your character, you lose everything""",Billy Graham
"""You’re not a drop in the ocean, you’re the entire ocean in a drop""",Rumi
"""We must recognize the need to discipline and train our own character""",Unknown
"""The unexamined life is not worth living""",Socrates
"""Spend zero time on what you could have done, and devote all of your time on what you might do""",Unknown
"""A man is great by deeds, not by birth""",Unknown
"""Expectation is the root of all heartache""",William Shakespeare
"""J'accepte la grande aventure d'être moi""",Unknown
"""Celui qui ne craint pas la mort, ne craint pas la vie""",Unknown
"""True virtue is life under the direction of reason""",Aristotle
"""She go both ways so I'm tastin' the rainbow (Ha)""",Lil Wayne
"""Many racehorse trainers believe that blinkers keep horses focused on what is in front, encouraging them to pay attention to the race rather than to distractions such as crowds""",Unknown
"""Love is the only way to grasp another human being in the innermost core of their personality""",Viktor E. Frankl
"""Just like Lebron give my niggers more chips""",Kanye West
"""Education is the most powerful weapon which you can use to change the world""",Nelson Mandela
"""Message says delivered, but I know that you don’t get it""",Drake
"""Practice like you never won, play like you never lost""",Michael Jordan
"""The CEO is the keeper of the promised land, he provides the context so WE can reach it""",Ben Horowitz
"""Giving your team a task that it cannot possibly perform is called crippling your team (team = army)""",Sun Tzu
"""The world is a book and those who do not travel read only one page""",Saint Augustine
"""Lex Talionis or Lois du talion or Lois de rétribution - Si membrum rupsit, ni cum eo pacit, talio esto - If someone has maimed another and does not settle with them, there shall be retaliation.""",Hammurabi
"""100 feet tall when I’m standing in the business""",Jay-Z
"""Cupidon fait pas le poids, face à Geronimo""",Orelsan
"""Running a startup, you only know 2 emotions- terror & euphoria""",Marc Andreessen
"""What gets measured gets managed""",Peter Drucker
"""Scientia potentia est -- Knowledge is power""",Sir Francis Bacon
"""Setting an example is not the main means of influencing others, it is the only means""",Albert Schweitzer
"""La perfection est atteinte, non pas lorsqu'il n'y a plus rien à ajouter, mais lorsqu'il n'y a plus rien à retirer""",Antoine de Saint-Exupéry
"""Of course not. There is only room for one Dennis Rodman on this team. In fact, you really can only have a very few Dennis Rodmans in society as a whole; otherwise, we would degenerate into anarchy""",Phil Jackson
"""Figuring out the right product is the innovator’s job, not the customer’s job""",Steve Jobs
"""He who dares not offend cannot be honest""",Thomas Paine
"""I’m all about my goals like I’m Messi""",Drake
"""The measure of the quality of a leader- the quantity, quality, and diversity of people who want to follow her""",John C. Maxwell
"""Give a man a fish, he’ll eat one day. Learn to a man how to to fish he’ll eat everyday""",Lao Tzu
"""I was poor because I didn’t have anything. I was rich because I had a dream""",Langston Hughes
